,Title,Event_Date,Latitude,Longitude,ZIP
64,Girls USAG Team Gymnastics Xcel P at Peterson Gymnastics,2025-04-15 18:00:00,41.9861619,-87.7267919,60611.0
65,Dance - Ballet - Tot 1 at McFetridge,2025-04-15 09:00:00,41.9517076,-87.6970874,60618.0
66,Stroller Fitness at Normandy,2025-04-15 10:15:00,41.7983183,-87.7886916,60638.0
67,Game Room at Loyola,2025-04-15 18:00:00,42.0108499,-87.6616126,60626.0
68,Boys USAG Pre Team Gymnastics at Peterson Gymnastics,2025-04-15 15:45:00,41.9861619,-87.7267919,60611.0
69,Tiny Tot Tumbling at Vittum,2025-04-15 13:15:00,41.8023503,-87.7482424,60638.0
70,Flag Football at Senka,2025-04-15 19:45:00,41.7903019,-87.7115826,60632.0
71,Earth Day Park Clean Up at Leone Beach,2025-04-15 09:00:00,42.0131319,-87.6625441,60626.0
72,Chair Exercise at Online,2025-04-15 13:00:00,41.9187998,-87.6466891,60614.0
73,Tennis Lessons: Green Ball 1 at McFetridge,2025-04-15 17:00:00,41.9517076,-87.6970874,60618.0
74,Cheerleading - Competitive at Broadway Armory,2025-04-15 15:30:00,41.9892661,-87.6597274,60660.0
75,Twinkle Stars Gymnastics at Broadway Gymnastics,2025-04-15 15:15:00,41.9892661,-87.6597274,60660.0
76,Pilates at Senn,2025-04-15 11:00:00,41.98906231,-87.66798476,60660.0
77,Learn to Swim at Harris,2025-04-15 16:00:00,41.7819343,-87.604879,60637.0
78,Cheer Tumbling Mini at Morgan Park SC,2025-04-15 17:00:00,41.6836435,-87.6804633,60647.0
79,Basketball Skills at West Pullman,2025-04-15 17:00:00,41.6700406,-87.6320972,60628.0
80,Park Kids - Spring at Rainey,2025-04-15 15:00:00,41.7502378,-87.7294483,60652.0
81,Boot Camp at Austin Town Hall,2025-04-15 13:00:00,41.8882977,-87.7658014,60644.0
82,Team Tumbling at West Lawn,2025-04-15 16:00:00,41.77446026,-87.72885025,60629.0
83,Tennis Lessons: Level 1 at West Pullman,2025-04-15 17:00:00,41.6700406,-87.6320972,60628.0
84,Basketball at Amundsen,2025-04-15 18:15:00,41.9140216,-87.6976256,60639.0
85,Tennis - Drop In Level 3 at McFetridge,2025-04-15 09:00:00,41.9517076,-87.6970874,60618.0
86,Mixed Media Arts Open Studio at Revere,2025-04-15 13:30:00,41.9536443,-87.692032,60618.0
87,Special Olympics Sports League at Douglass,2025-04-15 09:00:00,41.8632347,-87.7020481,60623.0
88,Pickleball - Open at McFetridge,2025-04-15 19:00:00,41.9517076,-87.6970874,60618.0
89,Chair Exercise at Taylor-Lauridsen,2025-04-15 13:15:00,41.8179027,-87.6437655,60609.0
90,Fitness (Special Rec) at Mann,2025-04-15 17:00:00,41.659128,-87.5490374,60633.0
91,Gym Monkeys at Vittum,2025-04-15 10:30:00,41.8023503,-87.7482424,60638.0
