Date,Temp_Avg,Temp_Min,Temp_Max,Precipitation,Snowfall,Wind_Direction,Wind_Speed,Pressure
2021-03-17,2.1,1.1,3.9,9.4,0.0,56.0,21.2,1015.6
2021-03-18,3.7,2.2,6.1,1.5,0.0,30.0,45.0,1016.7
2021-03-19,3.9,0.0,7.2,0.0,0.0,59.0,16.6,1032.4
2021-03-20,4.9,-2.1,14.4,0.0,0.0,164.0,10.1,1032.4
2021-03-21,9.9,2.8,18.3,0.0,0.0,178.0,15.8,1025.0
2021-03-22,13.6,7.8,20.0,0.0,0.0,183.0,15.8,1017.8
2021-03-23,13.8,10.0,17.8,6.1,0.0,134.0,16.9,1010.9
2021-03-24,12.9,7.8,14.4,0.3,0.0,204.0,24.1,1004.9
2021-03-25,8.3,3.3,10.0,4.6,0.0,0.0,18.7,1010.8
2021-03-26,4.1,1.7,7.2,0.0,0.0,14.0,10.4,1015.3
2021-03-27,8.4,2.2,18.9,0.0,0.0,159.0,15.5,1013.2
2021-03-28,8.7,1.7,10.6,0.0,0.0,292.0,25.2,1012.6
2021-03-29,6.4,-0.5,16.7,0.0,0.0,192.0,24.1,1017.0
2021-03-30,13.8,6.7,20.0,0.0,0.0,228.0,27.4,1008.9
2021-03-31,5.6,0.0,6.7,0.0,0.0,293.0,22.7,1021.3
2021-01-04,0.8,-4.3,4.4,0.0,0.0,15.0,18.7,1032.1
2021-02-04,2.2,-3.2,10.6,0.0,0.0,205.0,14.0,1031.5
2021-03-04,10.7,4.4,21.7,0.0,0.0,228.0,20.9,1020.7
2021-04-04,15.4,6.1,24.4,0.0,0.0,190.0,9.4,1019.0
2021-05-04,19.4,15.6,24.4,0.0,0.0,207.0,18.7,1012.5
2021-06-04,20.9,15.0,27.2,0.0,0.0,208.0,17.3,1010.4
2021-07-04,21.2,15.6,27.8,0.0,0.0,174.0,16.9,1007.8
2021-08-04,17.5,11.1,20.6,9.1,0.0,175.0,14.8,1001.5
2021-09-04,12.3,10.6,16.7,0.0,0.0,210.0,16.9,1003.3
2021-10-04,11.6,8.3,12.8,6.6,0.0,38.0,13.0,1000.6
2021-11-04,10.1,7.2,13.3,0.3,0.0,108.0,8.3,995.0
2021-12-04,12.5,8.9,16.7,0.0,0.0,271.0,18.4,1007.4
2021-04-13,9.7,5.6,12.2,0.0,0.0,245.0,18.4,1017.9
2021-04-14,6.8,2.2,10.6,0.0,0.0,280.0,16.6,1019.2
2021-04-15,7.1,3.9,13.3,0.0,0.0,333.0,14.4,1016.7
2021-04-16,8.3,3.3,13.9,0.0,0.0,43.0,10.4,1015.5
2021-04-17,6.7,1.7,13.3,0.0,0.0,28.0,11.5,1014.4
2021-04-18,9.6,3.9,16.7,0.0,0.0,241.0,9.4,1012.4
2021-04-19,10.5,4.4,11.1,0.0,0.0,274.0,19.1,1011.0
2021-04-20,4.6,1.1,6.1,0.0,0.0,24.0,10.1,1018.0
2021-04-21,3.9,0.6,10.0,0.0,0.0,256.0,14.4,1018.9
2021-04-22,5.4,0.0,15.6,0.0,0.0,277.0,14.8,1018.4
2021-04-23,11.6,6.1,16.7,0.0,0.0,219.0,16.9,1016.1
2021-04-24,13.0,6.7,17.8,0.0,0.0,354.0,7.9,1011.2
2021-04-25,7.9,3.9,8.3,0.0,0.0,42.0,17.6,1018.5
2021-04-26,11.6,4.4,26.1,0.0,0.0,151.0,24.5,1012.2
2021-04-27,22.9,10.0,30.6,0.0,0.0,211.0,23.0,1006.1
2021-04-28,11.3,7.8,10.6,1.0,0.0,59.0,14.8,1011.5
2021-04-29,11.9,8.9,21.7,1.0,0.0,350.0,15.5,1010.5
2021-04-30,11.7,5.6,13.3,0.0,0.0,57.0,19.1,1019.5
2021-01-05,13.3,5.6,29.4,0.0,0.0,202.0,27.7,1011.6
2021-02-05,23.6,17.2,29.4,0.0,0.0,218.0,25.9,1003.0
2021-03-05,18.6,14.4,22.8,1.8,0.0,205.0,14.0,1001.5
2021-04-05,13.8,7.2,14.4,0.0,0.0,339.0,13.7,1009.5
2021-05-05,10.7,5.0,16.1,0.0,0.0,26.0,14.8,1018.8
2021-06-05,9.6,6.7,13.3,1.5,0.0,92.0,12.2,1018.8
2021-07-05,10.1,3.9,15.6,0.0,0.0,334.0,15.8,1016.4
2021-08-05,7.2,2.8,12.2,2.5,0.0,55.0,10.8,1019.7
2021-09-05,7.8,4.4,13.9,3.0,0.0,57.0,19.8,1014.6
2021-10-05,7.9,3.9,11.1,0.0,0.0,35.0,14.8,1020.9
2021-11-05,7.9,2.2,13.3,0.0,0.0,25.0,11.2,1027.3
2021-12-05,9.9,2.8,16.7,0.0,0.0,50.0,9.4,1030.7
2021-05-13,13.0,5.0,21.1,0.0,0.0,353.0,7.9,1028.4
2021-05-14,15.7,8.9,21.7,0.0,0.0,185.0,10.8,1025.1
2021-05-15,14.8,12.8,16.7,0.3,0.0,187.0,11.5,1022.3
2021-05-16,16.5,12.8,22.2,0.0,0.0,182.0,6.1,1021.0
2021-05-17,17.5,13.3,21.1,0.0,0.0,102.0,12.2,1021.3
2021-05-18,18.4,14.4,24.4,1.8,0.0,127.0,15.8,1021.9
2021-05-19,20.4,18.3,23.9,1.0,0.0,168.0,17.6,1021.4
2021-05-20,23.4,18.9,30.0,0.0,0.0,173.0,17.3,1022.8
2021-05-21,25.2,20.6,30.0,0.0,0.0,216.0,13.7,1025.5
2021-05-22,25.3,21.1,31.1,0.0,0.0,236.0,12.2,1025.2
2021-05-23,24.1,13.3,27.8,0.5,0.0,280.0,12.2,1021.8
2021-05-24,20.3,13.3,32.2,0.0,0.0,210.0,11.9,1018.8
2021-05-25,26.1,20.0,29.4,0.8,0.0,225.0,21.6,1014.5
2021-05-26,22.7,13.3,27.8,18.8,0.0,269.0,18.7,1015.1
2021-05-27,14.1,9.4,15.0,0.8,0.0,46.0,28.4,1018.4
2021-05-28,9.0,6.7,9.4,12.7,0.0,40.0,31.3,1016.2
2021-05-29,10.8,7.2,15.6,0.0,0.0,43.0,20.2,1022.9
2021-05-30,13.2,5.6,20.6,0.0,0.0,54.0,7.9,1024.7
2021-05-31,17.1,12.2,21.1,0.0,0.0,216.0,11.5,1023.7
2021-01-06,17.3,10.0,25.0,0.0,0.0,115.0,6.8,1021.9
2021-02-06,19.6,12.8,25.6,0.0,0.0,57.0,9.4,1015.5
2021-03-06,21.5,13.3,30.6,0.0,0.0,266.0,8.6,1011.4
2021-04-06,26.6,21.7,32.8,0.0,0.0,243.0,17.6,1012.2
2021-05-06,27.0,20.6,33.3,0.0,0.0,217.0,19.8,1011.6
2021-06-06,27.5,22.2,31.7,0.0,0.0,200.0,18.4,1012.1
2021-07-06,25.3,21.7,26.7,0.0,0.0,197.0,10.8,1013.0
2021-08-06,25.3,21.7,32.8,0.3,0.0,89.0,6.8,1015.0
2021-09-06,26.6,21.1,31.7,0.0,0.0,41.0,9.4,1015.9
2021-10-06,25.2,18.9,32.2,0.0,0.0,44.0,9.4,1013.1
2021-11-06,27.3,21.7,33.3,0.0,0.0,20.0,6.8,1009.6
2021-12-06,26.6,20.0,33.9,38.1,0.0,6.0,8.3,1010.1
2021-06-13,25.5,18.9,30.6,0.0,0.0,48.0,11.5,1013.8
2021-06-14,24.1,18.3,28.3,0.0,0.0,3.0,18.7,1013.5
2021-06-15,21.4,15.0,25.0,0.0,0.0,15.0,15.5,1018.4
2021-06-16,19.5,13.3,25.0,0.0,0.0,36.0,11.2,1019.0
2021-06-17,21.9,14.4,31.1,1.0,0.0,207.0,13.0,1014.1
2021-06-18,27.2,19.4,32.2,5.3,0.0,250.0,13.7,1007.9
2021-06-19,26.4,17.8,32.2,0.0,0.0,268.0,17.3,1007.0
2021-06-20,22.4,16.7,27.8,47.0,0.0,54.0,10.1,1004.4
2021-06-21,21.0,13.3,22.2,0.0,0.0,308.0,19.8,1005.4
2021-06-22,17.2,12.2,22.8,0.0,0.0,253.0,12.2,1014.4
2021-06-23,20.5,17.2,26.1,0.5,0.0,197.0,23.0,1015.5
2021-06-24,22.2,20.0,24.4,11.7,0.0,191.0,16.2,1014.4
2021-06-25,22.2,21.1,25.0,33.3,0.0,187.0,14.8,1010.9
2021-06-26,23.9,21.1,27.8,16.0,0.0,202.0,16.6,1008.7
2021-06-27,24.7,20.0,28.3,0.0,0.0,232.0,19.1,1012.3
2021-06-28,22.2,18.9,27.8,4.3,0.0,85.0,9.4,1019.0
2021-06-29,24.6,22.2,28.9,7.4,0.0,228.0,11.9,1020.0
2021-06-30,24.9,21.1,28.3,7.4,0.0,249.0,9.4,1017.4
2021-01-07,21.8,15.0,24.4,0.0,0.0,22.0,21.6,1016.5
2021-02-07,18.2,13.9,22.8,0.0,0.0,20.0,10.8,1018.5
2021-03-07,21.3,15.0,30.0,0.0,0.0,282.0,14.4,1015.6
2021-04-07,26.2,21.1,31.7,0.0,0.0,255.0,11.5,1013.5
2021-05-07,27.6,22.8,32.8,0.0,0.0,242.0,19.8,1014.1
2021-06-07,28.6,25.0,32.8,0.0,0.0,239.0,16.2,1015.1
2021-07-07,26.9,19.4,31.7,0.0,0.0,249.0,14.0,1012.1
2021-08-07,19.3,16.1,20.0,0.0,0.0,11.0,12.6,1013.0
