ZONE,Full_Street,WARD - LOW,WARD - HIGH
30,5515-5555 S OAK PARK AVE,23.0,23.0
1997,3864-3898 W 72ND ST,13.0,13.0
1999,6201-6235 S KNOX AVE,13.0,13.0
2103,4401-4459 S KOMENSKY AVE,14.0,14.0
745,9300-9398 S OGLESBY AVE,7.0,7.0
1081,1000-1098 N ORLEANS ST,27.0,27.0
504,5401-5443 S KILDARE AVE,23.0,23.0
51,5501-5587 W HADDON AVE,37.0,37.0
2002,4000-4030 W 49TH ST,14.0,14.0
383,3001-3059 N SOUTHPORT AVE,32.0,32.0
1998,6501-6599 S KILPATRICK AVE,13.0,13.0
1998,6500-6598 S KILPATRICK AVE,13.0,13.0
383,3800-3898 N GREENVIEW AVE,47.0,47.0
203,4301-4357 S SACRAMENTO AVE,15.0,15.0
154,1634-1698 W BLOOMINGDALE AVE,32.0,32.0
1736,5000-5040 S KILDARE AVE,14.0,14.0
1785,7901-7999 S EAST END AVE,8.0,8.0
12,1700-1754 W BEVERLY GLEN PKWY,19.0,19.0
2002,4001-4031 W 48TH ST,14.0,14.0
1997,3900-3948 W 72ND ST,13.0,13.0
62,4700-4742 N WINCHESTER AVE,47.0,47.0
168,2000-2098 W WALTON ST,2.0,2.0
2001,3900-3946 W 59TH PL,23.0,23.0
383,3901-3999 N JANSSEN AVE,47.0,47.0
1607,3301-3399 N RIDGEWAY AVE,30.0,30.0
116,4704-4742 N SAWYER AVE,33.0,33.0
269,7204-7254 S ELLIS AVE,5.0,5.0
1397,3100-3158 N NORMANDY AVE,36.0,36.0
1252,4801-4899 W SCHUBERT AVE,31.0,31.0
1996,4867-4899 W 64TH ST,13.0,13.0
1998,4700-4730 W 66TH ST,13.0,13.0
33,3601-3657 N ST LOUIS AVE,35.0,35.0
56,1249-1249 W LOYOLA AVE,49.0,49.0
116,3215-3255 W LELAND AVE,33.0,33.0
1591,2-60 W 35TH ST,3.0,3.0
56,1261-1261 W LOYOLA AVE,49.0,49.0
383,501-599 W WELLINGTON AVE,44.0,44.0
56,1241-1241 W LOYOLA AVE,49.0,49.0
102,2100-2198 W CONCORD PL,2.0,2.0
