ZONE,Full_Street,WARD - LOW,WARD - HIGH
874,9101-9199 S BRANDON AVE,10.0,10.0
51,4901-4999 W WALTON ST,37.0,37.0
918,10201-10299 S FAIRFIELD AVE,19.0,19.0
392,503-523 W 37TH ST,11.0,11.0
143,806-806 W WEBSTER AVE,43.0,43.0
244,18-120 E BELLEVUE PL,42.0,42.0
1146,5501-5599 W QUINCY ST,29.0,29.0
2188,401-499 N MAY ST,27.0,27.0
930,11301-11399 S DR MARTIN LUTHER KING JR DR,9.0,9.0
70,5200-5200 S KOLIN AVE,23.0,23.0
19,5934-5946 W FILLMORE ST,29.0,29.0
1218,4900-4998 W WEST END AVE,28.0,28.0
280,2131-2157 W HIGHLAND AVE,50.0,50.0
74,1300-1352 N SUTTON PL,2.0,2.0
26,6252-6304 W BLOOMINGDALE AVE,29.0,29.0
142,1608-1630 N ST MICHAELS CT,43.0,43.0
62,1901-1927 W ARGYLE ST,40.0,40.0
383,3200-3398 N SHEFFIELD AVE,44.0,44.0
51,1504-1546 N LOREL AVE,37.0,37.0
1480,5201-5243 S SACRAMENTO AVE,14.0,14.0
82,1701-1759 N TROY ST,26.0,26.0
156,6577-6597 N TAHOMA AVE,41.0,41.0
383,3500-3598 N BOSWORTH AVE,44.0,44.0
1216,400-498 W 90TH ST,21.0,21.0
2072,1201-1399 S FAIRFIELD AVE,28.0,28.0
383,742-998 W FLETCHER ST,,44.0
19,5901-5969 W RICE ST,29.0,29.0
2072,1202-1398 S ALBANY AVE,24.0,24.0
95,3000-3056 N KIMBALL AVE,35.0,35.0
383,741-999 W FLETCHER ST,,44.0
2080,5201-5299 S TROY ST,14.0,14.0
2080,5200-5298 S TROY ST,14.0,14.0
94,4015-4041 W ROSCOE ST,30.0,30.0
2063,7115-7159 S SACRAMENTO AVE,18.0,18.0
29,5300-5350 S AUSTIN AVE,23.0,23.0
65,5801-5849 N HERMITAGE AVE,40.0,40.0
2063,7116-7158 S SACRAMENTO AVE,18.0,18.0
98,730-756 E 103RD PL,9.0,9.0
2084,7600-7698 S GREENWOOD AVE,8.0,8.0
34,4800-4830 S AVERS AVE,14.0,14.0
29,5700-5704 S NAGLE AVE,13.0,13.0
509,2018-2054 W BALMORAL AVE,40.0,40.0
4,5500-5580 W 54TH ST,23.0,23.0
2006,7900-7998 S SACRAMENTO AVE,18.0,18.0
383,1300-1350 W BYRON ST,47.0,47.0
485,3000-3068 S CHRISTIANA AVE,22.0,22.0
143,416-458 W ROSLYN PL,43.0,43.0
1234,4401-4499 S TROY ST,14.0,14.0
2387,1506-1526 N ELSTON AVE,27.0,27.0
2083,2900-2998 N ALBANY AVE,33.0,33.0
2006,7901-7999 S SACRAMENTO AVE,18.0,18.0
163,6100-6198 N MAPLEWOOD AVE,40.0,40.0
1424,601-699 N PEORIA ST,,27.0
143,2700-2798 N MAGNOLIA AVE,43.0,43.0
143,1014-1050 W MONTANA ST,43.0,43.0
678,11501-11599 S HOMAN AVE,0.0,0.0
620,3301-3399 W PIERCE AVE,26.0,26.0
1686,2535-2599 S DEARBORN ST,3.0,3.0
75,2122-2126 W 91ST ST,19.0,19.0
1729,4815-4857 W WOLFRAM ST,31.0,31.0
92,4639-4659 N CAMPBELL AVE,47.0,47.0
29,5516-5556 S NASHVILLE AVE,23.0,23.0
21,5114-5160 S KILDARE AVE,23.0,23.0
383,3601-3699 N LAKEWOOD AVE,44.0,44.0
163,5901-5943 N CALIFORNIA AVE,40.0,40.0
19,1000-1058 S MASON AVE,29.0,29.0
92,2300-2302 W SUNNYSIDE AVE,47.0,47.0
1791,5400-5448 S KILBOURN AVE,23.0,23.0
34,4701-4759 S HAMLIN AVE,14.0,14.0
217,3800-3858 W FILLMORE ST,24.0,24.0
383,401-499 W BARRY AVE,44.0,44.0
264,4700-4746 N LARAMIE AVE,45.0,45.0
2047,7601-7659 S WABASH AVE,6.0,6.0
1712,2815-2857 N MAJOR AVE,30.0,30.0
1295,2801-2899 N LOTUS AVE,31.0,31.0
2085,1300-1398 E 71ST PL,8.0,8.0
101,4711-4743 N LAVERGNE AVE,45.0,45.0
1786,5101-5145 W DEMING PL,31.0,31.0
1005,4800-4832 N MENARD AVE,45.0,45.0
383,1301-1347 W WELLINGTON AVE,32.0,32.0
383,1501-1599 W HENDERSON ST,44.0,44.0
92,4816-4852 N CLAREMONT AVE,47.0,47.0
163,6101-6199 N MAPLEWOOD AVE,40.0,40.0
136,3101-3159 S KEELER AVE,22.0,22.0
76,5700-5718 N PARKSIDE AVE,45.0,45.0
974,6601-6699 N PONCHARTRAIN BLVD,41.0,41.0
857,6501-6599 W BYRON ST,38.0,38.0
37,5114-5158 S SPRINGFIELD AVE,23.0,23.0
255,6532-6598 W GEORGE ST,36.0,36.0
650,6101-6161 S KNOX AVE,13.0,13.0
1694,2701-2741 N RIDGEWAY AVE,35.0,35.0
1631,3200-3258 S WELLS ST,11.0,11.0
143,400-498 W ARMITAGE AVE,43.0,43.0
74,1501-1555 N STATE PKWY,43.0,43.0
2047,7600-7658 S WABASH AVE,6.0,6.0
49,6009-6013 N AVONDALE AVE,41.0,41.0
2082,6501-6559 S MOZART ST,17.0,17.0
264,4701-4751 N LARAMIE AVE,45.0,45.0
2083,2901-2999 N ALBANY AVE,33.0,33.0
74,1301-1353 N SUTTON PL,2.0,2.0
92,4501-4519 N OAKLEY AVE,47.0,47.0
143,2701-2799 N MAGNOLIA AVE,43.0,43.0
143,500-558 W BELDEN AVE,43.0,43.0
62,4845-4895 N RAVENSWOOD AVE,47.0,47.0
1372,3301-3335 N DRAKE AVE,35.0,35.0
2082,6500-6558 S MOZART ST,17.0,17.0
748,1-99 E 81ST ST,6.0,6.0
348,400-498 W EVERGREEN AVE,27.0,27.0
383,3201-3399 N KENMORE AVE,44.0,44.0
493,13101-13157 S HOUSTON AVE,10.0,10.0
669,1805-1867 S AVERS AVE,24.0,24.0
28,2100-2142 W 110TH PL,19.0,19.0
2085,1301-1399 E 71ST PL,8.0,8.0
1159,4900-4998 W 64TH ST,13.0,13.0
642,6501-6553 S WOOD ST,15.0,15.0
383,3600-3698 N MAGNOLIA AVE,44.0,44.0
1028,811-823 W HUBBARD ST,27.0,27.0
95,3101-3147 N SPAULDING AVE,35.0,35.0
103,3536-3598 W HENDERSON ST,35.0,35.0
2191,4400-4498 S MOZART ST,15.0,15.0
76,5615-5627 N LUNA AVE,45.0,45.0
9,5901-5959 W 61ST ST,13.0,13.0
631,1800-1898 S BISHOP ST,25.0,25.0
2270,1700-1798 S MORGAN ST,25.0,25.0
383,3101-3199 N LAKEWOOD AVE,32.0,32.0
56,1040-1098 W COLUMBIA AVE,49.0,49.0
143,800-898 W WILLOW ST,43.0,43.0
1669,2300-2334 E 92ND ST,7.0,7.0
2296,4101-4199 W GEORGE ST,31.0,
87,7501-7559 S INDIANA AVE,6.0,6.0
269,7914-7958 S MICHIGAN AVE,6.0,6.0
101,5100-5198 N LONG AVE,45.0,45.0
737,2801-2899 N KEATING AVE,31.0,31.0
149,1-99 N MAYFIELD AVE,29.0,29.0
520,8009-8059 S CRANDON AVE,8.0,8.0
2320,1100-1158 W ADAMS ST,25.0,25.0
156,6401-6471 N LEOTI AVE,41.0,41.0
1966,3801-3857 W 62ND PL,23.0,23.0
1657,3900-3998 S PRAIRIE AVE,3.0,3.0
55,4722-4764 W BELMONT AVE,30.0,30.0
1625,2501-2599 S RIDGEWAY AVE,22.0,22.0
157,2700-2798 S HILLOCK AVE,11.0,11.0
2065,4200-4298 N SPRINGFIELD AVE,,39.0
1723,5402-5454 S LARAMIE AVE,23.0,23.0
383,1001-1099 W WELLINGTON AVE,44.0,44.0
2065,4201-4299 N SPRINGFIELD AVE,,39.0
138,10800-10860 S UNION AVE,34.0,34.0
146,4800-4898 N CENTRAL PARK AVE,35.0,35.0
360,5537-5557 W GRACE ST,38.0,38.0
733,4801-4899 N CENTRAL PARK AVE,33.0,33.0
163,5802-5858 N CALIFORNIA AVE,40.0,40.0
2088,2601-2659 N MEADE AVE,30.0,30.0
163,5901-5945 N CAMPBELL AVE,40.0,40.0
2087,2301-2311 N NAGLE AVE,36.0,36.0
21,5351-5365 S KILBOURN AVE,23.0,23.0
74,1301-1363 N STATE PKWY,43.0,43.0
92,4800-4852 N HAMILTON AVE,47.0,47.0
570,1301-1399 N PINE AVE,37.0,37.0
18,6400-6400 S LA CROSSE AVE,13.0,13.0
2087,2300-2312 N NAGLE AVE,36.0,36.0
1094,4301-4399 N CLAREMONT AVE,47.0,47.0
846,1201-1213 W SUPERIOR ST,27.0,27.0
143,2501-2535 N SHEFFIELD AVE,43.0,43.0
1802,1101-1157 E 90TH ST,8.0,8.0
2088,2600-2658 N MEADE AVE,30.0,30.0
1539,3101-3115 W 15TH PL,24.0,24.0
1025,4700-4798 W ERIE ST,28.0,28.0
12,2001-2025 W 95TH ST,19.0,19.0
1748,3401-3427 W 37TH PL,12.0,12.0
1802,1100-1158 E 90TH ST,8.0,8.0
2089,2423-2457 N PARKSIDE AVE,30.0,30.0
2000,3900-3944 W 70TH ST,13.0,13.0
2089,2414-2456 N PARKSIDE AVE,30.0,30.0
74,1300-1350 N ASTOR ST,43.0,43.0
163,5900-5944 N CAMPBELL AVE,40.0,40.0
66,8713-8759 S MERRILL AVE,8.0,8.0
2000,3901-3945 W 70TH ST,13.0,13.0
2387,1503-1519 N ELSTON AVE,27.0,27.0
92,2200-2266 W LELAND AVE,47.0,47.0
1260,1700-1798 N MEADE AVE,29.0,29.0
383,3501-3599 N FREMONT ST,44.0,44.0
2012,16-20 N CARPENTER ST,25.0,25.0
604,1000-1098 N MOZART ST,26.0,26.0
1621,3001-3059 W POPE JOHN PAUL II DR,15.0,15.0
1621,3000-3058 W POPE JOHN PAUL II DR,15.0,15.0
4,5318-5354 S LARAMIE AVE,23.0,23.0
102,2019-2073 N BINGHAM ST,1.0,1.0
143,800-800 W WISCONSIN ST,43.0,43.0
251,1701-1743 W 101ST ST,19.0,19.0
19,1001-1099 S AUSTIN BLVD,29.0,29.0
44,7401-7465 S CLYDE AVE,7.0,7.0
44,7400-7464 S CLYDE AVE,7.0,7.0
205,5701-5759 W MIDWAY PARK ,29.0,29.0
101,5501-5559 N LUNA AVE,45.0,45.0
44,7300-7398 S CLYDE AVE,7.0,7.0
224,7301-7399 S HOYNE AVE,17.0,17.0
1306,6935-6999 W WOLFRAM ST,36.0,36.0
369,5701-5799 S MARYLAND AVE,5.0,5.0
44,7301-7399 S CLYDE AVE,5.0,5.0
43,4907-4945 N FAIRFIELD AVE,40.0,40.0
2193,3513-3533 S PAULINA ST,12.0,12.0
383,900-998 W ROSCOE ST,44.0,44.0
2193,3516-3558 S PAULINA ST,12.0,12.0
141,4000-4056 N KILDARE AVE,45.0,45.0
1414,2300-2398 E 74TH ST,7.0,7.0
132,4241-4257 N SACRAMENTO AVE,33.0,33.0
143,2422-2480 N ORCHARD ST,43.0,43.0
1038,5500-5598 W ADAMS ST,29.0,29.0
2189,7200-7258 S OGLESBY AVE,5.0,5.0
22,5401-5465 N NOTTINGHAM AVE,41.0,41.0
103,3537-3599 W HENDERSON ST,35.0,35.0
2166,2501-2555 W ARTHUR AVE,50.0,50.0
5,927-929 S MAY ST,25.0,25.0
95,3100-3144 N BERNARD ST,35.0,35.0
132,4200-4256 N SACRAMENTO AVE,33.0,33.0
2212,5501-5599 S HERMITAGE AVE,15.0,15.0
102,2401-2499 W PALMER ST,1.0,1.0
1435,6032-6098 S DREXEL AVE,20.0,20.0
2215,6000-6098 N ROCKWELL ST,40.0,40.0
374,5501-5599 W GEORGE ST,31.0,31.0
19,1000-1058 S MONITOR AVE,29.0,29.0
424,3401-3499 N HARDING AVE,30.0,30.0
2166,2501-2599 W ALBION AVE,50.0,50.0
1148,11800-11898 S LAFLIN ST,34.0,34.0
92,4614-4644 N ROCKWELL ST,47.0,47.0
2213,5601-5699 S FAIRFIELD AVE,15.0,15.0
2209,4900-4998 W DAKIN ST,45.0,45.0
2210,4400-4498 N LA CROSSE AVE,45.0,45.0
570,1300-1398 N PINE AVE,37.0,37.0
1082,6401-6499 S NATCHEZ AVE,23.0,23.0
1154,12100-12122 S INDIANA AVE,9.0,9.0
1451,2301-2361 S WHIPPLE ST,12.0,12.0
383,3500-3598 N WILTON AVE,44.0,44.0
1130,1201-1299 W SUNNYSIDE AVE,46.0,46.0
2209,4901-4999 W DAKIN ST,45.0,45.0
383,900-998 W GEORGE ST,44.0,44.0
1715,447-449 N CARPENTER ST,27.0,27.0
109,2200-2298 S OAKLEY AVE,25.0,25.0
1460,416-426 N ADA ST,27.0,27.0
1738,713-727 N MENARD AVE,29.0,29.0
383,501-599 W STRATFORD PL,44.0,44.0
341,4401-4457 N MULLIGAN AVE,38.0,38.0
201,431-529 N WELLS ST,42.0,42.0
102,2501-2523 W ARMITAGE AVE,1.0,1.0
2263,5509-5539 N MENARD AVE,45.0,45.0
143,2600-2658 N DAYTON ST,43.0,43.0
82,1614-1652 N ALBANY AVE,26.0,26.0
91,2019-2021 E 81ST ST,8.0,8.0
1055,1408-1428 N BURLING ST,27.0,27.0
109,2000-2098 W 23RD ST,25.0,25.0
383,700-798 W CALIFORNIA TER,44.0,44.0
378,2502-2558 W 38TH ST,12.0,12.0
43,2700-2798 W BERWYN AVE,40.0,40.0
2396,601-699 N CHRISTIANA AVE,27.0,27.0
1730,4518-4532 W 60TH ST,13.0,13.0
383,600-798 W CORNELIA AVE,46.0,46.0
5,806-840 S CARPENTER ST,25.0,25.0
1655,7601-7699 S EUCLID AVE,8.0,8.0
121,8001-8099 S STATE ST,6.0,6.0
383,700-798 W OAKDALE AVE,44.0,44.0
721,5700-5744 N NATOMA AVE,41.0,41.0
1661,5104-5144 W ALTGELD ST,31.0,31.0
37,3931-3957 W 49TH ST,14.0,14.0
2397,37-59 W 77TH PL,6.0,6.0
383,800-898 W NELSON ST,,44.0
1544,3517-3551 W WOLFRAM ST,35.0,35.0
383,2801-2899 N MILDRED AVE,44.0,44.0
383,3200-3298 N DAYTON ST,44.0,44.0
120,4164-4168 N MILWAUKEE AVE,45.0,45.0
359,6220-6264 W GIDDINGS ST,38.0,38.0
1268,4701-4799 N SHERIDAN RD,46.0,46.0
1450,3401-3499 W ARTHINGTON ST,24.0,24.0
383,2905-2999 N MILDRED AVE,44.0,44.0
1189,661-699 N SEDGWICK ST,42.0,42.0
383,2800-2898 N MILDRED AVE,44.0,44.0
890,2800-2898 W 25TH ST,12.0,12.0
8,6701-6799 N OLMSTED AVE,41.0,41.0
2396,600-698 N CHRISTIANA AVE,27.0,27.0
1441,6211-6243 S WOODLAWN AVE,20.0,20.0
143,801-859 W BELDEN AVE,43.0,43.0
383,3401-3499 N BROADWAY ,44.0,46.0
51,5503-5527 W POTOMAC AVE,37.0,37.0
383,301-399 W WELLINGTON AVE,44.0,44.0
383,601-799 W CORNELIA AVE,46.0,44.0
383,3600-3698 N FREMONT ST,44.0,44.0
94,3570-3594 N MILWAUKEE AVE,30.0,30.0
2397,36-58 W 77TH PL,6.0,6.0
143,400-458 W BELDEN AVE,43.0,43.0
542,720-768 S KENNETH AVE,24.0,24.0
1569,1901-1903 N HUMBOLDT BLVD,1.0,1.0
1096,4401-4457 S SAWYER AVE,14.0,14.0
142,1600-1660 N HUDSON AVE,43.0,43.0
383,300-398 W WELLINGTON AVE,44.0,44.0
143,2611-2683 N HALSTED ST,43.0,43.0
930,11401-11499 S DR MARTIN LUTHER KING JR DR,9.0,9.0
1129,2701-2799 S PRAIRIE AVE,4.0,4.0
149,2-100 N MAYFIELD AVE,29.0,29.0
383,701-799 W OAKDALE AVE,44.0,44.0
383,801-899 W NELSON ST,,44.0
383,701-799 W CALIFORNIA TER,44.0,44.0
142,1709-1757 N MOHAWK ST,43.0,43.0
109,1001-1035 W 20TH PL,25.0,25.0
759,2401-2459 W THOMAS ST,1.0,1.0
1502,5441-5573 W VAN BUREN ST,29.0,29.0
101,5100-5156 W WINNEMAC AVE,45.0,45.0
2269,1901-1999 S SHELBY CT,25.0,25.0
1810,11000-11098 S ASHLAND AVE,34.0,34.0
96,2701-2745 N RICHMOND ST,32.0,32.0
2091,4500-4598 N TROY ST,33.0,33.0
12,9515-9559 S LEAVITT ST,19.0,19.0
92,4500-4598 N OAKLEY AVE,47.0,47.0
105,5300-5336 S MAYFIELD AVE,23.0,23.0
383,1301-1359 W BARRY AVE,32.0,32.0
2224,2319-2319 W GARFIELD BLVD,15.0,15.0
383,3801-3899 N WAYNE AVE,44.0,44.0
135,1647-1647 E 78TH ST,8.0,8.0
780,2841-2899 W GIDDINGS ST,33.0,33.0
238,4101-4159 W BELLE PLAINE AVE,39.0,39.0
143,2600-2664 N MILDRED AVE,43.0,43.0
2091,4501-4599 N TROY ST,33.0,33.0
1871,3406-3458 N MONTICELLO AVE,30.0,30.0
1287,920-930 E 61ST ST,20.0,20.0
168,1801-1899 W ERIE ST,1.0,1.0
219,3036-3056 W ARGYLE ST,33.0,33.0
121,7900-7906 S WABASH AVE,6.0,6.0
143,1816-1878 N ORCHARD ST,43.0,43.0
1810,11001-11099 S ASHLAND AVE,34.0,34.0
328,8014-8032 S HAMLIN AVE,18.0,18.0
1762,201-265 W 104TH ST,34.0,34.0
96,2700-2758 N RICHMOND ST,32.0,32.0
143,2417-2459 N SEMINARY AVE,43.0,43.0
383,800-898 W BELMONT AVE,44.0,44.0
850,5104-5160 S KEELER AVE,23.0,23.0
448,6201-6299 N MAPLEWOOD AVE,50.0,50.0
1476,716-798 W 14TH ST,11.0,11.0
1664,2004-2032 E 78TH ST,8.0,8.0
2118,3300-3398 W VAN BUREN ST,28.0,28.0
155,1614-1658 N MONTICELLO AVE,26.0,26.0
80,501-599 S CLAREMONT AVE,28.0,28.0
283,5000-5050 N SPRINGFIELD AVE,39.0,39.0
114,3901-3999 N ST LOUIS AVE,35.0,35.0
2120,3801-3899 W GRENSHAW ST,24.0,24.0
2121,10301-10399 S BENSLEY AVE,7.0,7.0
80,2301-2399 W HARRISON ST,28.0,28.0
80,2313-2345 W FLOURNOY ST,28.0,28.0
383,1100-1198 W BARRY AVE,44.0,44.0
168,1700-1798 W SUPERIOR ST,1.0,1.0
1805,3000-3098 N HAMLIN AVE,30.0,30.0
143,2201-2273 N LINCOLN AVE,43.0,43.0
95,3001-3055 N ALLEN AVE,35.0,35.0
19,500-548 N DRAKE AVE,27.0,27.0
1179,4501-4527 W THOMAS ST,37.0,37.0
535,3600-3698 W LE MOYNE ST,26.0,26.0
80,500-598 S CLAREMONT AVE,28.0,28.0
107,4702-4760 N BERNARD ST,33.0,33.0
80,906-934 S WESTERN AVE,28.0,28.0
142,1607-1657 N MOHAWK ST,43.0,43.0
923,5800-5898 W RACE AVE,29.0,29.0
143,1625-1663 N DAYTON ST,43.0,43.0
2116,4601-4659 S MOZART ST,15.0,15.0
252,2501-2521 W 50TH ST,14.0,14.0
62,4550-4556 N WOLCOTT AVE,47.0,47.0
383,3601-3699 N PINE GROVE AVE,46.0,46.0
1084,850-850 W ADAMS ST,27.0,27.0
2125,2701-2799 W WASHINGTON BLVD,27.0,27.0
143,1938-1972 N HALSTED ST,43.0,43.0
1119,6401-6499 W GEORGE ST,36.0,36.0
80,905-939 S WESTERN AVE,28.0,28.0
143,2052-2058 N SHEFFIELD AVE,43.0,43.0
828,5600-5698 W 61ST ST,13.0,13.0
2120,3800-3898 W GRENSHAW ST,24.0,24.0
1711,10001-10099 S SEELEY AVE,19.0,19.0
70,5120-5160 S KOLIN AVE,23.0,23.0
383,1500-1598 W ADDISON ST,44.0,44.0
141,2901-2959 N SPRINGFIELD AVE,30.0,30.0
159,10004-10058 S UNION AVE,34.0,34.0
372,1425-1441 S CHRISTIANA AVE,24.0,24.0
144,4415-4463 W AINSLIE ST,39.0,39.0
2095,3200-3298 W THOMAS ST,26.0,26.0
96,2600-2698 N FRANCISCO AVE,32.0,32.0
1055,711-799 W EASTMAN ST,27.0,27.0
1764,2700-2758 S CHRISTIANA AVE,22.0,22.0
2095,3201-3299 W THOMAS ST,26.0,26.0
143,2314-2364 N CAMBRIDGE AVE,43.0,43.0
1374,2801-2857 N NEWLAND AVE,36.0,36.0
2090,4600-4698 W MCLEAN AVE,36.0,36.0
383,1201-1299 W ROSCOE ST,44.0,44.0
2092,2332-2332 S CANAL ST,25.0,25.0
168,814-884 N MARSHFIELD AVE,1.0,1.0
62,4802-4858 N WOLCOTT AVE,47.0,47.0
448,6201-6259 N CAMPBELL AVE,50.0,50.0
1528,4315-4399 S ARTESIAN AVE,15.0,15.0
2090,4601-4699 W MCLEAN AVE,36.0,36.0
96,2601-2699 N FRANCISCO AVE,32.0,32.0
2092,463-487 W 23RD PL,25.0,25.0
383,1300-1398 W MELROSE ST,44.0,44.0
143,1901-1957 N LARRABEE ST,43.0,43.0
1759,6000-6058 S PARKSIDE AVE,13.0,13.0
1858,200-222 N KEYSTONE AVE,28.0,28.0
383,1301-1345 W NELSON ST,32.0,32.0
135,7851-7855 S BENNETT AVE,8.0,8.0
2124,2101-2227 N MOBILE AVE,36.0,36.0
383,3201-3299 N SEMINARY AVE,44.0,44.0
1858,201-223 N KEYSTONE AVE,28.0,28.0
62,1901-1909 W WILSON AVE,47.0,47.0
102,2034-2098 N HOYNE AVE,32.0,32.0
109,2101-2199 W COULTER ST,25.0,25.0
1453,2701-2799 W PERSHING RD,12.0,12.0
383,3900-3998 N BROADWAY ,46.0,46.0
280,6301-6343 N BELL AVE,50.0,50.0
146,4845-4857 N KEYSTONE AVE,39.0,39.0
1233,4531-4559 S HOMAN AVE,14.0,14.0
30,5514-5554 S NEWLAND AVE,23.0,23.0
838,2801-2899 N TRIPP AVE,31.0,31.0
80,710-756 S WESTERN AVE,28.0,28.0
142,1901-1971 N LINCOLN AVE,43.0,43.0
516,5601-5699 S TROY ST,14.0,14.0
80,1120-1142 S WESTERN AVE,28.0,28.0
383,801-899 W CORNELIA AVE,44.0,44.0
41,7203-7261 W RASCHER AVE,41.0,41.0
1653,5400-5498 S FRANCISCO AVE,14.0,14.0
154,1800-1860 N MARSHFIELD AVE,32.0,32.0
5,701-731 S RACINE AVE,25.0,25.0
1164,6601-6623 W MELROSE ST,36.0,36.0
2118,3301-3399 W VAN BUREN ST,28.0,28.0
2117,4717-4759 S HERMITAGE AVE,15.0,15.0
80,2201-2223 W POLK ST,28.0,28.0
1775,5801-5899 S KOLMAR AVE,13.0,13.0
481,9401-9457 S MORGAN ST,21.0,21.0
1268,4701-4799 N WINTHROP AVE,46.0,46.0
1220,6901-6999 S WABASH AVE,6.0,6.0
110,7100-7142 W BERWYN AVE,41.0,41.0
2125,2700-2798 W WASHINGTON BLVD,27.0,27.0
326,4500-4558 N BERNARD ST,33.0,33.0
22,7100-7134 W BALMORAL AVE,41.0,41.0
374,5500-5598 W GEORGE ST,31.0,31.0
383,1000-1198 W NEWPORT AVE,44.0,44.0
780,2901-2929 W GIDDINGS ST,33.0,33.0
102,2501-2599 W PALMER ST,1.0,1.0
982,7600-7698 S PEORIA ST,17.0,17.0
142,1800-1856 N HUDSON AVE,43.0,43.0
80,1119-1143 S WESTERN AVE,28.0,28.0
1010,5515-5559 S SAWYER AVE,14.0,14.0
2116,4600-4642 S MOZART ST,15.0,15.0
266,3701-3757 W 83RD PL,18.0,18.0
264,4636-4664 N LARAMIE AVE,45.0,45.0
64,701-723 W 87TH ST,21.0,21.0
80,2312-2344 W FLOURNOY ST,28.0,28.0
114,3900-3998 N ST LOUIS AVE,35.0,35.0
95,3001-3057 N KIMBALL AVE,35.0,35.0
1126,404-498 N MCCLURG CT,42.0,42.0
20,5758-5774 N NINA AVE,41.0,41.0
77,8001-8099 S GREEN ST,21.0,21.0
1685,2415-2455 N LOWELL AVE,31.0,31.0
1,5216-5256 N ST LOUIS AVE,39.0,39.0
523,1701-1717 W 92ND ST,21.0,21.0
912,200-250 N LA CROSSE AVE,28.0,28.0
93,2301-2399 N AVERS AVE,35.0,35.0
154,1800-1826 W CORTLAND ST,32.0,32.0
2117,4718-4742 S HERMITAGE AVE,15.0,15.0
80,711-755 S WESTERN AVE,28.0,28.0
80,2123-2199 W BOWLER ST,28.0,28.0
151,2315-2347 W 21ST PL,25.0,25.0
95,3027-3059 N DRAKE AVE,35.0,35.0
80,2246-2300 W POLK ST,28.0,28.0
62,1775-1799 W AINSLIE ST,47.0,47.0
1615,8900-8998 S HARPER AVE,8.0,8.0
2124,2100-2228 N MOBILE AVE,36.0,36.0
1506,8106-8158 S HARPER AVE,8.0,8.0
101,5300-5318 N LEAMINGTON AVE,45.0,45.0
109,2215-2259 S WESTERN AVE,25.0,25.0
1569,1909-1955 N HUMBOLDT BLVD,1.0,1.0
114,4316-4330 N ELSTON AVE,39.0,39.0
80,2300-2398 W HARRISON ST,28.0,28.0
120,4163-4169 N MILWAUKEE AVE,45.0,45.0
383,1300-1398 W BELMONT AVE,44.0,44.0
80,2101-2159 W POLK ST,28.0,28.0
142,1700-1758 N FERN CT,43.0,43.0
109,1000-1034 W 20TH PL,25.0,25.0
1189,501-599 W SUPERIOR ST,42.0,42.0
566,2601-2699 W 24TH PL,12.0,12.0
857,3917-3937 N NATCHEZ AVE,38.0,38.0
345,5800-5898 S KENNETH AVE,13.0,13.0
2235,0-100 S RACINE AVE,25.0,27.0
116,4414-4450 N KEYSTONE AVE,39.0,39.0
2235,0-100 N RACINE AVE,25.0,27.0
26,6215-6269 W NORTH AVE,0.0,0.0
2235,301-399 S ABERDEEN ST,25.0,25.0
2235,312-312 N MAY ST,27.0,27.0
372,2601-2659 W 15TH ST,28.0,28.0
1189,201-399 W SUPERIOR ST,42.0,42.0
66,8800-8858 S CLYDE AVE,8.0,8.0
43,2800-2898 W FARRAGUT AVE,40.0,40.0
22,5447-5463 N NORDICA AVE,41.0,41.0
94,3502-3534 N KILDARE AVE,30.0,30.0
2235,301-399 S LAFLIN ST,27.0,27.0
2235,201-299 S LOOMIS ST,27.0,27.0
102,2101-2229 N TALMAN AVE,1.0,1.0
2235,301-399 S MORGAN ST,25.0,25.0
488,11600-11658 S LAFAYETTE AVE,34.0,34.0
2235,100-112 S SANGAMON ST,25.0,25.0
2235,1000-1098 W TILDEN ST,25.0,25.0
144,5101-5159 N LOWELL AVE,39.0,39.0
2235,15-99 S ABERDEEN ST,25.0,25.0
1569,1908-1958 N HUMBOLDT BLVD,1.0,1.0
95,3006-3096 N ELBRIDGE AVE,35.0,35.0
109,2137-2159 W 22ND PL,25.0,25.0
2235,0-98 N SANGAMON ST,25.0,25.0
64,8616-8632 S EMERALD AVE,21.0,21.0
2366,4501-4559 S MOZART ST,15.0,15.0
132,4300-4344 N RICHMOND ST,33.0,33.0
262,6701-6731 W BELMONT AVE,36.0,36.0
383,3701-3799 N MAGNOLIA AVE,44.0,44.0
1724,2000-2058 N NAGLE AVE,36.0,36.0
163,6015-6059 N MAPLEWOOD AVE,40.0,40.0
20,5800-5898 N WEST CIRCLE AVE,41.0,41.0
26,6018-6056 W NORTH AVE,29.0,29.0
163,6014-6050 N MAPLEWOOD AVE,40.0,40.0
959,8800-8898 S LAFLIN ST,21.0,21.0
163,5901-5947 N WASHTENAW AVE,40.0,40.0
265,4014-4034 W 25TH PL,22.0,22.0
51,900-956 N LECLAIRE AVE,37.0,37.0
12,9514-9558 S HOYNE AVE,19.0,19.0
109,2100-2110 W 22ND PL,25.0,25.0
154,1800-1898 W NORTH AVE,32.0,2.0
383,1000-1098 W WOLFRAM ST,44.0,44.0
357,1737-1757 W 51ST ST,16.0,16.0
383,2900-2998 N MILDRED AVE,44.0,44.0
383,3201-3299 N RACINE AVE,44.0,44.0
168,600-698 N WOLCOTT AVE,1.0,1.0
2110,3100-3198 W 38TH PL,12.0,12.0
2272,2300-2398 N MASON AVE,36.0,36.0
